employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
49017,Sales & Marketing,7,Bachelor's,Female,Sourcing,1,35,5.0,3,1,0,50,1
58304,Sales & Marketing,28,Bachelor's,Male,Sourcing,1,33,5.0,6,1,0,51,1
17673,Sales & Marketing,4,Master's & above,Male,Other,1,50,4.0,17,1,0,47,1
77981,Finance,22,Bachelor's,Male,Other,1,27,,1,1,1,58,1
16502,Sales & Marketing,22,Bachelor's,Male,Sourcing,1,27,,1,0,0,61,1
45624,Analytics,31,Bachelor's,Male,Other,1,30,3.0,7,1,0,84,1
24040,Technology,22,Master's & above,Male,Other,1,34,5.0,7,1,0,78,1
54782,Sales & Marketing,2,Master's & above,Male,Sourcing,1,38,4.0,2,1,0,49,1
59147,Sales & Marketing,22,Bachelor's,Male,Sourcing,1,30,3.0,3,0,0,58,1
44575,Legal,7,Bachelor's,Male,Other,1,29,,1,0,0,65,1
47498,Operations,11,Master's & above,Female,Sourcing,1,42,5.0,11,1,0,60,1
22261,Procurement,7,Master's & above,Male,Sourcing,1,32,5.0,3,1,0,69,1
66635,Operations,15,Bachelor's,Male,Other,1,31,5.0,4,1,0,63,1
21387,Operations,13,Bachelor's,Male,Other,1,35,4.0,6,1,0,57,1
14141,Sales & Marketing,7,Bachelor's,Female,Other,1,40,3.0,2,1,0,90,1
51892,Technology,2,Bachelor's,Male,Other,1,27,5.0,2,0,0,86,1
38771,Procurement,23,Bachelor's,Female,Other,1,27,4.0,4,1,0,72,1
26097,Sales & Marketing,25,Master's & above,Male,Other,1,34,5.0,7,1,0,51,1
38052,Procurement,34,Master's & above,Male,Sourcing,1,37,5.0,3,0,1,92,1
19318,Analytics,22,Bachelor's,Male,Other,1,32,3.0,8,0,0,89,1
34985,Technology,5,Bachelor's,Female,Other,2,34,5.0,8,0,0,88,1
35930,Procurement,2,Bachelor's,Male,Sourcing,1,25,5.0,3,1,0,70,1
5515,Operations,13,Master's & above,Male,Other,1,43,3.0,7,1,0,56,1
33825,Sales & Marketing,17,Bachelor's,Male,Other,1,34,4.0,7,1,0,48,1
53630,Sales & Marketing,23,Master's & above,Female,Sourcing,1,34,4.0,5,1,1,94,1
62923,Operations,13,Master's & above,Female,Other,1,38,5.0,2,1,1,93,1
43396,Operations,22,Bachelor's,Male,Sourcing,2,37,2.0,4,1,0,57,1
22031,Procurement,2,Bachelor's,Female,Other,1,29,4.0,2,1,0,95,1
